"Código de Ruta","Descripción de la ruta","Código recorrido ","Descripción del recorrido","Sentido","Dia","Mes","Año","Cantidad de Pasajeros Regulares","Cantidad de Adultos Mayores","Ingresos"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","4","6","2025","283","","169800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","3","6","2025","320","","192000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","2","6","2025","309","","185400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","30","6","2025","278","","166800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","27","6","2025","295","","177000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","26","6","2025","260","","156000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","25","6","2025","315","","189000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","24","6","2025","342","","205200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","23","6","2025","301","","180600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","20","6","2025","271","","162600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","19","6","2025","253","","151800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","18","6","2025","301","","180600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","17","6","2025","284","","170400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","16","6","2025","157","","94200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","13","6","2025","186","","111600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","12","6","2025","249","","149400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","11","6","2025","324","","194400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","10","6","2025","330","","198000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","9","6","2025","302","","181200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","6","6","2025","226","","135600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","5","6","2025","243","","145800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","4","6","2025","311","","186600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","3","6","2025","292","","175200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Origen – Destino","2","6","2025","323","","193800"
"RF002","INDOOR CLUB - UNIVERSIDAD LATINA - METROPOLI III","T4467","ESTACION DEL PACIFICO – METROPOLI III","Destino – Origen","30","6","2025","626","","194060"
"RF002","INDOOR CLUB - UNIVERSIDAD LATINA - METROPOLI III","T4467","ESTACION DEL PACIFICO – METROPOLI III","Destino – Origen","27","6","2025","488","","151280"
"RF002","INDOOR CLUB - UNIVERSIDAD LATINA - METROPOLI III","T4467","ESTACION DEL PACIFICO – METROPOLI III","Destino – Origen","26","6","2025","615","","190650"
"RF002","INDOOR CLUB - UNIVERSIDAD LATINA - METROPOLI III","T4467","ESTACION DEL PACIFICO – METROPOLI III","Destino – Origen","25","6","2025","663","","205530"
"RF002","INDOOR CLUB - UNIVERSIDAD LATINA - METROPOLI III","T4467","ESTACION DEL PACIFICO – METROPOLI III","Destino – Origen","24","6","2025","784","","243040"
